"","age","female","male"
"1","18-24","0.94","0.94"
"51","25-34","0.93","0.93"
"71","35-44","0.91","0.91"
"91","45-54","0.85","0.84"
"111","55-64","0.81","0.78"
"131","65-74","0.78","0.78"
"151","75+","0.71","0.75"
