"age","sex","cw","co","age5_start","age5_str","mx","qx","lx","dx","ex"
10,"male",0.915652209483253,0.917965536040096,16,"16-17",7.2e-05,7.2e-05,99475,7.2,70.09
11,"female",0.880881396147728,0.877652281742187,16,"16-17",6.2e-05,6.2e-05,99551.9,6.2,72.7
11,"male",0.915652209483253,0.917965536040096,16,"16-17",8.1e-05,8.1e-05,99467.8,8.1,69.09
12,"female",0.880881396147728,0.877652281742187,16,"16-17",5.7e-05,5.7e-05,99545.8,5.6,71.71
12,"male",0.915652209483253,0.917965536040096,16,"16-17",0.000105,0.000105,99459.7,10.4,68.1
13,"female",0.880881396147728,0.877652281742187,16,"16-17",7.9e-05,7.9e-05,99540.1,7.9,70.71
13,"male",0.915652209483253,0.917965536040096,16,"16-17",0.000125,0.000125,99449.3,12.4,67.11
14,"female",0.880881396147728,0.877652281742187,16,"16-17",9.2e-05,9.2e-05,99532.2,9.1,69.72
14,"male",0.915652209483253,0.917965536040096,16,"16-17",0.000116,0.000116,99436.9,11.5,66.12
15,"female",0.880881396147728,0.877652281742187,16,"16-17",9.8e-05,9.8e-05,99523.1,9.8,68.72
15,"male",0.915652209483253,0.917965536040096,16,"16-17",0.000169,0.000169,99425.4,16.8,65.12
16,"female",0.880881396147728,0.877652281742187,16,"16-17",0.000148,0.000148,99513.3,14.7,67.73
16,"male",0.915652209483253,0.917965536040096,16,"16-17",0.00022,0.00022,99408.5,21.9,64.13
17,"female",0.880881396147728,0.877652281742187,16,"16-17",0.000159,0.000159,99498.6,15.8,66.74
17,"male",0.915652209483253,0.917965536040096,16,"16-17",0.000303,0.000303,99386.7,30.2,63.15
18,"female",0.863698144490791,0.856051371395557,18,"18-19",0.000211,0.000211,99482.8,20.9,65.75
18,"male",0.933260367430998,0.930075000884574,18,"18-19",0.000387,0.000387,99356.5,38.5,62.17
19,"female",0.863698144490791,0.856051371395557,18,"18-19",0.000194,0.000194,99461.8,19.3,64.76
19,"male",0.933260367430998,0.930075000884574,18,"18-19",0.000415,0.000415,99318,41.2,61.19
20,"female",0.865875425510669,0.858723380905297,20,"20-24",0.000179,0.000179,99442.6,17.8,63.78
20,"male",0.894801751478044,0.894197389345114,20,"20-24",0.000503,0.000503,99276.8,49.9,60.22
21,"female",0.865875425510669,0.858723380905297,20,"20-24",0.000201,0.000201,99424.8,20,62.79
21,"male",0.894801751478044,0.894197389345114,20,"20-24",0.000498,0.000498,99226.9,49.4,59.25
22,"female",0.865875425510669,0.858723380905297,20,"20-24",0.000215,0.000215,99404.8,21.4,61.8
22,"male",0.894801751478044,0.894197389345114,20,"20-24",0.000479,0.000478,99177.4,47.5,58.28
23,"female",0.865875425510669,0.858723380905297,20,"20-24",2e-04,2e-04,99383.4,19.9,60.81
23,"male",0.894801751478044,0.894197389345114,20,"20-24",0.00047,0.00047,99130,46.6,57.3
24,"female",0.865875425510669,0.858723380905297,20,"20-24",0.000218,0.000218,99363.5,21.6,59.82
24,"male",0.894801751478044,0.894197389345114,20,"20-24",0.000513,0.000513,99083.4,50.8,56.33
25,"female",0.872808316551781,0.869230496615478,25,"25-29",0.000244,0.000244,99341.9,24.3,58.84
25,"male",0.895031377820043,0.894844633061854,25,"25-29",0.000538,0.000538,99032.6,53.3,55.36
26,"female",0.872808316551781,0.869230496615478,25,"25-29",0.000259,0.000259,99317.7,25.7,57.85
26,"male",0.895031377820043,0.894844633061854,25,"25-29",0.000543,0.000543,98979.3,53.7,54.39
27,"female",0.872808316551781,0.869230496615478,25,"25-29",0.00027,0.00027,99291.9,26.9,56.87
27,"male",0.895031377820043,0.894844633061854,25,"25-29",0.000574,0.000574,98925.6,56.7,53.42
28,"female",0.872808316551781,0.869230496615478,25,"25-29",0.000304,0.000304,99265.1,30.2,55.88
28,"male",0.895031377820043,0.894844633061854,25,"25-29",0.000629,0.000629,98868.8,62.1,52.45
29,"female",0.872808316551781,0.869230496615478,25,"25-29",0.000302,0.000302,99234.9,30,54.9
29,"male",0.895031377820043,0.894844633061854,25,"25-29",0.000664,0.000664,98806.7,65.6,51.48
30,"female",0.869993614927992,0.869404311612675,30,"30-34",0.000358,0.000358,99204.9,35.5,53.92
30,"male",0.915643145113206,0.914603981442727,30,"30-34",0.000711,0.000711,98741.1,70.2,50.51
31,"female",0.869993614927992,0.869404311612675,30,"30-34",0.000369,0.000369,99169.4,36.6,52.93
31,"male",0.915643145113206,0.914603981442727,30,"30-34",0.000772,0.000772,98670.9,76.2,49.55
32,"female",0.869993614927992,0.869404311612675,30,"30-34",0.000436,0.000436,99132.9,43.2,51.95
32,"male",0.915643145113206,0.914603981442727,30,"30-34",0.000756,0.000755,98594.7,74.5,48.59
33,"female",0.869993614927992,0.869404311612675,30,"30-34",0.000451,0.000451,99089.7,44.7,50.98
33,"male",0.915643145113206,0.914603981442727,30,"30-34",0.000861,0.000861,98520.2,84.8,47.62
34,"female",0.869993614927992,0.869404311612675,30,"30-34",0.000525,0.000525,99045,52,50
34,"male",0.915643145113206,0.914603981442727,30,"30-34",0.000893,0.000892,98435.4,87.8,46.66
35,"female",0.856976300386238,0.854020440852654,35,"35-39",0.000554,0.000554,98993,54.8,49.03
35,"male",0.861710607230982,0.862675639666449,35,"35-39",0.000968,0.000967,98347.6,95.1,45.71
36,"female",0.856976300386238,0.854020440852654,35,"35-39",0.000583,0.000583,98938.1,57.7,48.05
36,"male",0.861710607230982,0.862675639666449,35,"35-39",0.001051,0.00105,98252.5,103.2,44.75
37,"female",0.856976300386238,0.854020440852654,35,"35-39",0.000746,0.000746,98880.5,73.8,47.08
37,"male",0.861710607230982,0.862675639666449,35,"35-39",0.001212,0.001211,98149.3,118.9,43.8
38,"female",0.856976300386238,0.854020440852654,35,"35-39",0.000703,0.000703,98806.7,69.4,46.11
38,"male",0.861710607230982,0.862675639666449,35,"35-39",0.001179,0.001178,98030.4,115.5,42.85
39,"female",0.856976300386238,0.854020440852654,35,"35-39",0.000771,0.00077,98737.2,76.1,45.15
39,"male",0.861710607230982,0.862675639666449,35,"35-39",0.001291,0.00129,97914.9,126.3,41.9
40,"female",0.849846689374818,0.846264078621191,40,"40-44",0.000829,0.000828,98661.2,81.7,44.18
40,"male",0.870400246174799,0.872078363431723,40,"40-44",0.001431,0.00143,97788.6,139.8,40.95
41,"female",0.849846689374818,0.846264078621191,40,"40-44",0.000916,0.000916,98579.5,90.2,43.22
41,"male",0.870400246174799,0.872078363431723,40,"40-44",0.001535,0.001534,97648.7,149.8,40.01
42,"female",0.849846689374818,0.846264078621191,40,"40-44",0.001028,0.001027,98489.2,101.2,42.26
42,"male",0.870400246174799,0.872078363431723,40,"40-44",0.001678,0.001676,97498.9,163.4,39.07
43,"female",0.849846689374818,0.846264078621191,40,"40-44",0.001098,0.001098,98388,108,41.3
43,"male",0.870400246174799,0.872078363431723,40,"40-44",0.001853,0.001851,97335.5,180.2,38.14
44,"female",0.849846689374818,0.846264078621191,40,"40-44",0.001261,0.00126,98280,123.8,40.34
44,"male",0.870400246174799,0.872078363431723,40,"40-44",0.001962,0.00196,97155.3,190.4,37.21
45,"female",0.815221490506362,0.806122652535395,45,"45-49",0.001361,0.00136,98156.2,133.5,39.39
45,"male",0.823605870642231,0.822153948959309,45,"45-49",0.002226,0.002223,96964.9,215.6,36.28
46,"female",0.815221490506362,0.806122652535395,45,"45-49",0.001495,0.001494,98022.7,146.4,38.45
46,"male",0.823605870642231,0.822153948959309,45,"45-49",0.002306,0.002304,96749.3,222.9,35.36
