"age","sex","age5_str","cw","co","age5_start","mx","qx","lx","dx","ex","tto","dsu_2014"
27,"male","25-29",0.895031377820043,0.894844633061854,25,0.000574,0.000574,98925.6,56.7,53.42,0.936522960211248,0.9284
28,"female","25-29",0.872808316551781,0.869230496615478,25,0.000304,0.000304,99265.1,30.2,55.88,0.920756141982323,0.9066
28,"male","25-29",0.895031377820043,0.894844633061854,25,0.000629,0.000629,98868.8,62.1,52.45,0.936522960211248,0.9267
29,"female","25-29",0.872808316551781,0.869230496615478,25,0.000302,0.000302,99234.9,30,54.9,0.920756141982323,0.9055
29,"male","25-29",0.895031377820043,0.894844633061854,25,0.000664,0.000664,98806.7,65.6,51.48,0.936522960211248,0.925
3,"female","16-17",0.880881396147728,0.877652281742187,16,9.8e-05,9.8e-05,99608.8,9.8,80.66,0.90377268173794,0.9103
3,"male","16-17",0.915652209483253,0.917965536040096,16,0.000102,0.000102,99531.5,10.1,77.05,0.94760401074775,0.9446
30,"female","30-34",0.869993614927992,0.869404311612675,30,0.000358,0.000358,99204.9,35.5,53.92,0.914951036675339,0.9042
30,"male","30-34",0.915643145113206,0.914603981442727,30,0.000711,0.000711,98741.1,70.2,50.51,0.929936780546354,0.9232
31,"female","30-34",0.869993614927992,0.869404311612675,30,0.000369,0.000369,99169.4,36.6,52.93,0.914951036675339,0.9028
31,"male","30-34",0.915643145113206,0.914603981442727,30,0.000772,0.000772,98670.9,76.2,49.55,0.929936780546354,0.9214
32,"female","30-34",0.869993614927992,0.869404311612675,30,0.000436,0.000436,99132.9,43.2,51.95,0.914951036675339,0.9013
32,"male","30-34",0.915643145113206,0.914603981442727,30,0.000756,0.000755,98594.7,74.5,48.59,0.929936780546354,0.9196
33,"female","30-34",0.869993614927992,0.869404311612675,30,0.000451,0.000451,99089.7,44.7,50.98,0.914951036675339,0.8998
33,"male","30-34",0.915643145113206,0.914603981442727,30,0.000861,0.000861,98520.2,84.8,47.62,0.929936780546354,0.9177
34,"female","30-34",0.869993614927992,0.869404311612675,30,0.000525,0.000525,99045,52,50,0.914951036675339,0.8981
34,"male","30-34",0.915643145113206,0.914603981442727,30,0.000893,0.000892,98435.4,87.8,46.66,0.929936780546354,0.9158
35,"female","35-39",0.856976300386238,0.854020440852654,35,0.000554,0.000554,98993,54.8,49.03,0.900041875839447,0.8963
35,"male","35-39",0.861710607230982,0.862675639666449,35,0.000968,0.000967,98347.6,95.1,45.71,0.912657597370535,0.9138
36,"female","35-39",0.856976300386238,0.854020440852654,35,0.000583,0.000583,98938.1,57.7,48.05,0.900041875839447,0.8945
36,"male","35-39",0.861710607230982,0.862675639666449,35,0.001051,0.00105,98252.5,103.2,44.75,0.912657597370535,0.9118
37,"female","35-39",0.856976300386238,0.854020440852654,35,0.000746,0.000746,98880.5,73.8,47.08,0.900041875839447,0.8925
37,"male","35-39",0.861710607230982,0.862675639666449,35,0.001212,0.001211,98149.3,118.9,43.8,0.912657597370535,0.9098
38,"female","35-39",0.856976300386238,0.854020440852654,35,0.000703,0.000703,98806.7,69.4,46.11,0.900041875839447,0.8905
38,"male","35-39",0.861710607230982,0.862675639666449,35,0.001179,0.001178,98030.4,115.5,42.85,0.912657597370535,0.9077
39,"female","35-39",0.856976300386238,0.854020440852654,35,0.000771,0.00077,98737.2,76.1,45.15,0.900041875839447,0.8883
39,"male","35-39",0.861710607230982,0.862675639666449,35,0.001291,0.00129,97914.9,126.3,41.9,0.912657597370535,0.9056
4,"female","16-17",0.880881396147728,0.877652281742187,16,6.4e-05,6.4e-05,99599,6.4,79.67,0.90377268173794,0.9103
4,"male","16-17",0.915652209483253,0.917965536040096,16,9.4e-05,9.4e-05,99521.4,9.4,76.06,0.94760401074775,0.9446
40,"female","40-44",0.849846689374818,0.846264078621191,40,0.000829,0.000828,98661.2,81.7,44.18,0.869464153375748,0.8861
40,"male","40-44",0.870400246174799,0.872078363431723,40,0.001431,0.00143,97788.6,139.8,40.95,0.887665462704234,0.9034
41,"female","40-44",0.849846689374818,0.846264078621191,40,0.000916,0.000916,98579.5,90.2,43.22,0.869464153375748,0.8838
41,"male","40-44",0.870400246174799,0.872078363431723,40,0.001535,0.001534,97648.7,149.8,40.01,0.887665462704234,0.9012
42,"female","40-44",0.849846689374818,0.846264078621191,40,0.001028,0.001027,98489.2,101.2,42.26,0.869464153375748,0.8814
42,"male","40-44",0.870400246174799,0.872078363431723,40,0.001678,0.001676,97498.9,163.4,39.07,0.887665462704234,0.899
43,"female","40-44",0.849846689374818,0.846264078621191,40,0.001098,0.001098,98388,108,41.3,0.869464153375748,0.879
43,"male","40-44",0.870400246174799,0.872078363431723,40,0.001853,0.001851,97335.5,180.2,38.14,0.887665462704234,0.8967
44,"female","40-44",0.849846689374818,0.846264078621191,40,0.001261,0.00126,98280,123.8,40.34,0.869464153375748,0.8764
44,"male","40-44",0.870400246174799,0.872078363431723,40,0.001962,0.00196,97155.3,190.4,37.21,0.887665462704234,0.8943
45,"female","45-49",0.815221490506362,0.806122652535395,45,0.001361,0.00136,98156.2,133.5,39.39,0.870711285432271,0.8738
45,"male","45-49",0.823605870642231,0.822153948959309,45,0.002226,0.002223,96964.9,215.6,36.28,0.881764281395693,0.8919
46,"female","45-49",0.815221490506362,0.806122652535395,45,0.001495,0.001494,98022.7,146.4,38.45,0.870711285432271,0.871
46,"male","45-49",0.823605870642231,0.822153948959309,45,0.002306,0.002304,96749.3,222.9,35.36,0.881764281395693,0.8895
47,"female","45-49",0.815221490506362,0.806122652535395,45,0.00162,0.001618,97876.3,158.4,37.5,0.870711285432271,0.8682
47,"male","45-49",0.823605870642231,0.822153948959309,45,0.002573,0.00257,96526.4,248.1,34.44,0.881764281395693,0.887
48,"female","45-49",0.815221490506362,0.806122652535395,45,0.001772,0.00177,97717.9,173,36.56,0.870711285432271,0.8654
48,"male","45-49",0.823605870642231,0.822153948959309,45,0.002719,0.002715,96278.4,261.4,33.53,0.881764281395693,0.8845
49,"female","45-49",0.815221490506362,0.806122652535395,45,0.001899,0.001897,97544.9,185,35.63,0.870711285432271,0.8624
49,"male","45-49",0.823605870642231,0.822153948959309,45,0.003047,0.003042,96017,292.1,32.62,0.881764281395693,0.882
5,"female","16-17",0.880881396147728,0.877652281742187,16,8.5e-05,8.5e-05,99592.6,8.5,78.67,0.90377268173794,0.9103
