"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,1,3,4,5,"18-34",1,0.372,0.129775793136285,"11345",1,0.372
1,1,3,5,1,"18-34",1,0.602,0.561789341677746,"11351",1,0.602
1,1,3,5,2,"18-34",1,0.524,0.521608729945671,"11352",1,0.524
1,1,3,5,3,"18-34",1,0.498,0.410292352654406,"11353",1,0.498
1,1,3,5,4,"18-34",1,0.317,0.218201276591927,"11354",1,0.317
1,1,3,5,5,"18-34",1,0.313,0.0599633633225706,"11355",1,0.313
1,1,4,1,1,"18-34",1,0.838,0.951600848689341,"11411",1,0.838
1,1,4,1,2,"18-34",1,0.76,0.859511649492893,"11412",1,0.76
1,1,4,1,3,"18-34",1,0.734,0.754803856544813,"11413",1,0.734
1,1,4,1,4,"18-34",1,0.553,0.501635682683972,"11414",1,0.553
1,1,4,1,5,"18-34",1,0.549,0.311839055294375,"11415",1,0.549
1,1,4,2,1,"18-34",1,0.775,0.82229478185985,"11421",1,0.775
1,1,4,2,2,"18-34",1,0.697,0.759139309195518,"11422",1,0.697
1,1,4,2,3,"18-34",1,0.671,0.686571537168536,"11423",1,0.671
1,1,4,2,4,"18-34",1,0.49,0.461746844275253,"11424",1,0.49
1,1,4,2,5,"18-34",1,0.486,0.277967588913998,"11425",1,0.486
1,1,4,3,1,"18-34",1,0.754,0.633003034146155,"11431",1,0.754
1,1,4,3,2,"18-34",1,0.676,0.604730880153958,"11432",1,0.676
1,1,4,3,3,"18-34",1,0.65,0.528335853171074,"11433",1,0.65
1,1,4,3,4,"18-34",1,0.469,0.35239113500681,"11434",1,0.469
1,1,4,3,5,"18-34",1,0.465,0.198844080659851,"11435",1,0.465
1,1,4,4,1,"18-34",1,0.562,0.341124296256088,"11441",1,0.562
1,1,4,4,2,"18-34",1,0.484,0.326737869003754,"11442",1,0.484
1,1,4,4,3,"18-34",1,0.458,0.254454629498397,"11443",1,0.458
1,1,4,4,4,"18-34",1,0.277,0.139248362073497,"11444",1,0.277
1,1,4,4,5,"18-34",1,0.273,0.0357096003034333,"11445",1,0.273
1,1,4,5,1,"18-34",1,0.503,0.224058199813076,"11451",1,0.503
1,1,4,5,2,"18-34",1,0.425,0.198516356980748,"11452",1,0.425
1,1,4,5,3,"18-34",1,0.399,0.113751065140794,"11453",1,0.399
1,1,4,5,4,"18-34",1,0.218,0.0219895397581602,"11454",1,0.218
1,1,4,5,5,"18-34",1,0.214,-0.0581905898194666,"11455",1,0.214
1,1,5,1,1,"18-34",1,0.816,0.951608502356865,"11511",1,0.816
1,1,5,1,2,"18-34",1,0.738,0.864643240911403,"11512",1,0.738
1,1,5,1,3,"18-34",1,0.712,0.770365621757159,"11513",1,0.712
1,1,5,1,4,"18-34",1,0.531,0.5037191552933,"11514",1,0.531
1,1,5,1,5,"18-34",1,0.527,0.284839473223887,"11515",1,0.527
1,1,5,2,1,"18-34",1,0.753,0.826346007618343,"11521",1,0.753
1,1,5,2,2,"18-34",1,0.675,0.765199982238867,"11522",1,0.675
1,1,5,2,3,"18-34",1,0.649,0.700758108645544,"11523",1,0.649
1,1,5,2,4,"18-34",1,0.468,0.469633602279111,"11524",1,0.468
1,1,5,2,5,"18-34",1,0.464,0.277172254834534,"11525",1,0.464
1,1,5,3,1,"18-34",1,0.732,0.635979656953344,"11531",1,0.732
1,1,5,3,2,"18-34",1,0.654,0.611193009206079,"11532",1,0.654
1,1,5,3,3,"18-34",1,0.628,0.499184871322155,"11533",1,0.628
1,1,5,3,4,"18-34",1,0.447,0.311418442490405,"11534",1,0.447
1,1,5,3,5,"18-34",1,0.443,0.17108786670012,"11535",1,0.443
1,1,5,4,1,"18-34",1,0.54,0.277073917972884,"11541",1,0.54
1,1,5,4,2,"18-34",1,0.462,0.264704186187183,"11542",1,0.462
1,1,5,4,3,"18-34",1,0.436,0.186518514561182,"11543",1,0.436
1,1,5,4,4,"18-34",1,0.255,0.0905586914448619,"11544",1,0.255
1,1,5,4,5,"18-34",1,0.251,0.0034060940067564,"11545",1,0.251
1,1,5,5,1,"18-34",1,0.481,0.151550011860541,"11551",1,0.481
1,1,5,5,2,"18-34",1,0.403,0.15892297341869,"11552",1,0.403
1,1,5,5,3,"18-34",1,0.377,0.0575241080357268,"11553",1,0.377
1,1,5,5,4,"18-34",1,0.196,-0.0258928589029159,"11554",1,0.196
1,1,5,5,5,"18-34",1,0.192,-0.101841440327575,"11555",1,0.192
1,2,1,1,1,"18-34",1,0.95,0.933722036340337,"12111",1,0.95
1,2,1,1,2,"18-34",1,0.872,0.849315449305951,"12112",1,0.872
1,2,1,1,3,"18-34",1,0.846,0.779173457372657,"12113",1,0.846
1,2,1,1,4,"18-34",1,0.665,0.549588848052569,"12114",1,0.665
1,2,1,1,5,"18-34",1,0.661,0.367126417270137,"12115",1,0.661
1,2,1,2,1,"18-34",1,0.887,0.799090042176303,"12121",1,0.887
1,2,1,2,2,"18-34",1,0.809,0.739808868344782,"12122",1,0.809
1,2,1,2,3,"18-34",1,0.783,0.680321970252666,"12123",1,0.783
1,2,1,2,4,"18-34",1,0.602,0.457726724744367,"12124",1,0.602
1,2,1,2,5,"18-34",1,0.598,0.274181727955256,"12125",1,0.598
1,2,1,3,1,"18-34",1,0.866,0.696389713711433,"12131",1,0.866
1,2,1,3,2,"18-34",1,0.788,0.653592347894213,"12132",1,0.788
1,2,1,3,3,"18-34",1,0.762,0.602931616800273,"12133",1,0.762
1,2,1,3,4,"18-34",1,0.581,0.394833379506398,"12134",1,0.581
1,2,1,3,5,"18-34",1,0.577,0.213796765491613,"12135",1,0.577
1,2,1,4,1,"18-34",1,0.674,0.63623467915642,"12141",1,0.674
